"","title_move","positive_score","negative_score"
"1","겨울왕국 2","4075","181"
"2","킹스맨: 퍼스트 에이전트","1834","63"
"3"," 장사리 : 잊혀진 영웅들","925","110"
"4","스타워즈: 라이즈 오브 스카이워커","855","68"
"5"," 조커","692","26"
"6"," 원스 어폰 어 타임... 인 할리우드","663","17"
"7"," 날씨의 아이","607","38"
"8","007 NO TIME TO DIE","480","28"
"9","터미네이터: 다크 페이트","360","17"
"10"," 가장 보통의 연애","354","16"
"11","나쁜 녀석들 : 포에버","352","17"
"12","탑건: 매버릭","282","12"
"13"," 레플리카","253","23"
"14","말레피센트 2","231","12"
"15","람보 : 라스트 워","201","16"
"16"," 경계선","150","7"
"17"," 메기","145","9"
"18"," 버티고","131","4"
"19"," 퍼펙트맨","177","54"
"20","캣츠","123","5"
"21"," 더 룸","120","3"
"22"," 얼굴없는 보스","126","11"
"23","포드 V 페라리","105","1"
"24","제미니 맨","109","6"
"25"," 미드 90","111","8"
"26","윤희에게","99","6"
"27","판소리 복서","132","41"
"28"," 두번할까요","109","19"
"29"," 마왕의 딸 이리샤","117","28"
"30"," 시크릿 슈퍼스타","93","7"
"31"," 아워 바디","95","20"
"32","나를 찾아줘","74","8"
"33"," 양자물리학","176","119"
"34"," 블러드 심플","63","7"
"35"," 디어 마이 프렌드","54","6"
"36"," 열두 번째 용의자","47","2"
"37","신문기자","45","4"
"38"," 하나님과의 인터뷰","55","16"
"39","너와 파도를 탈 수 있다면","51","14"
"40"," 트루 시크릿","36","3"
"41"," 애월","37","5"
"42"," 체인지오버","32","2"
"43"," 나의 노래는 멀리멀리","31","3"
"44","웨스트 사이드 스토리","32","4"
"45"," 수상한 이웃","33","8"
"46"," 뱅드림! 필름 라이브","36","11"
"47"," 슈퍼 햄찌","34","10"
"48"," 계절과 계절 사이","30","6"
"49"," 와인스타인","31","7"
"50"," 여배우들의 티타임","22","1"
"51"," 타이페이 스토리","17","2"
"52"," 오늘도 위위","18","3"
"53"," 엔젤 오브 마인","15","0"
"54","허슬러","15","0"
"55"," 빅트립: 아기팬더 배달 대모험","14","1"
"56"," 소피와 드래곤: 마법책의 비밀","18","5"
"57"," 앳 퍼스트 라이트","15","2"
"58"," 오션스: 문어구출대작전","17","5"
"59"," 아이리멤버유","13","1"
"60"," 몬스터 하우스","17","5"
"61","킹 페타르: 세계대전의 서막","12","1"
"62"," 스노우 화이트","10","0"
"63","체크 히어로","10","0"
"64"," 와일드 로즈","11","2"
"65"," A.I. 라이징","19","11"
"66"," 토막살인범의 고백","14","7"
"67"," 프렌드 존","7","0"
"68"," 파바로티","9","2"
"69"," 텔 잇 투 더 비즈","6","0"
"70"," 너를 만난 여름","11","5"
"71"," 다크시티: 뱀파이어의 습격","9","4"
"72"," 13일의 금요일 : 음모론의 시작","15","11"
"73"," 재혼의 기술","9","5"
"74","롤라 앤 허 브라더스","5","2"
"75"," 마법안개의 비밀: 황금 보물선을 찾아라","2","0"
"76"," 홍금보의 라이프타임 트레저","3","2"
"77"," 평요전: 전설의 요괴 사냥꾼","2","3"
"78","쿵푸 보이","5","6"
"79"," 헬로우 평양","32","38"
"80","꼬마 자전거 타요","1","7"
"81"," 울프 특공대","1","15"
"82","김대중의 그날들","29","91"
